factory_id,sector,country,month,monthly_production_tons,energy_used_mwh,co2_emissions_kg,emission_per_mwh,energy_per_ton,intensity_diff
FAC_001,Textile,Japan,1,651.5074411972072,2812.3359194921304,586974.682625429,208.71428571428575,4.316659705872575,2.842170943040401e-14
FAC_001,Textile,Japan,2,766.7150828864166,2901.1349474490603,605508.3083175825,208.71428571428572,3.783850105735879,0.0
FAC_001,Textile,Japan,3,533.4389477678544,2086.8394518668583,435553.20559678285,208.71428571428572,3.912049280614252,0.0
FAC_001,Textile,Japan,4,499.4147181299291,1838.3564152792674,383691.2461032871,208.71428571428572,3.681021701088504,0.0
FAC_001,Textile,Japan,5,454.95916707653555,1986.7939256916707,414672.2750622187,208.71428571428572,4.366971960271419,0.0
FAC_001,Textile,Japan,6,315.96783076484115,820.0543116612158,171157.0499052909,208.71428571428572,2.5953727937308297,0.0
FAC_001,Textile,Japan,7,486.12195311439575,1714.6178163768802,357865.2328180889,208.71428571428575,3.5271351260563026,2.842170943040401e-14
FAC_001,Textile,Japan,8,425.31642734723306,1415.241798286993,295381.18104247097,208.71428571428572,3.3275032594298874,0.0
FAC_001,Textile,Japan,9,769.5513469737785,2875.889912604657,600239.3089022007,208.71428571428575,3.7370994462084273,2.842170943040401e-14
FAC_001,Textile,Japan,10,478.12070115565524,1591.2651332278972,332119.76566370827,208.71428571428572,3.328166150057265,0.0
FAC_001,Textile,Japan,11,781.3213979235654,2086.8394518668583,435553.20559678285,208.71428571428572,2.6709104056446287,0.0
FAC_001,Textile,Japan,12,673.4673421521376,2356.8222282868037,491902.4679324315,208.71428571428572,3.4995345442517287,0.0
FAC_002,Textile,India,1,846.9686686929722,2932.713351645046,824930.3699127279,281.2857142857143,3.462599574280309,0.0
FAC_002,Textile,India,2,633.0553084762712,2720.252618641996,765168.2008722986,281.2857142857143,4.297022048815122,0.0
FAC_002,Textile,India,3,641.6000737938181,1647.8654112158426,463520.9992405706,281.2857142857143,2.568368487665408,0.0
FAC_002,Textile,India,4,721.4244628187404,2951.9072524894586,830329.3400216777,281.2857142857143,4.091775930297407,0.0
FAC_002,Textile,India,5,439.7365598271095,1251.8228546361634,352119.8858255151,281.2857142857143,2.846756374153517,0.0
FAC_002,Textile,India,6,509.5322313644328,1399.1233827405467,393553.4200880195,281.2857142857143,2.7458977011011725,0.0
FAC_002,Textile,India,7,358.4517530990923,1456.2121625654247,409611.67829876015,281.2857142857143,4.062505344095393,0.0
FAC_002,Textile,India,8,577.8719597934878,2276.851586092654,640445.8247166337,281.2857142857143,3.9400624091646965,0.0
FAC_002,Textile,India,9,568.3474797966787,2217.5210170464125,623756.9832234837,281.2857142857143,3.9016993931946544,0.0
FAC_002,Textile,India,10,506.0012122201053,1932.914980517731,543701.3709484874,281.2857142857143,3.819980928577169,0.0
FAC_002,Textile,India,11,764.9872368404192,2414.31733584856,679112.976326545,281.2857142857143,3.156023028332172,0.0
FAC_002,Textile,India,12,697.3021813445844,2190.3388228805193,616111.0203216774,281.2857142857143,3.141161581707607,0.0
FAC_003,Electronics,Germany,1,269.34885490485107,1041.9870233512327,166762.5803229123,160.04285714285717,3.868540758115791,-28.242857142857133
FAC_003,Electronics,Germany,2,277.54612241382904,1223.8496377172353,195868.392733517,160.04285714285717,4.409536069440888,-28.242857142857133
FAC_003,Electronics,Germany,3,152.28423814254404,657.23621240203,105185.9612505706,160.04285714285714,4.315851859775737,-28.24285714285716
FAC_003,Electronics,Germany,4,200.17494108273146,588.3200175713631,94156.41652645689,160.04285714285717,2.9390293030145713,-28.242857142857133
FAC_003,Electronics,Germany,5,142.41734794083843,419.7912366718447,67184.58892049537,160.04285714285714,2.947613073417363,-28.24285714285716
FAC_003,Electronics,Germany,6,153.00776796085907,519.6593481106194,83167.76681261814,160.04285714285717,3.3962938943306034,-28.242857142857133
FAC_003,Electronics,Germany,7,232.29875321005306,860.4187809501173,137703.88004263092,160.04285714285714,3.7039319800915806,-28.24285714285716
FAC_003,Electronics,Germany,8,263.7278661301265,835.8106502684259,133765.52449938824,160.04285714285717,3.169216293040596,-28.242857142857133
FAC_003,Electronics,Germany,9,232.38339040502262,670.7120564290489,107342.6738310662,160.04285714285714,2.8862306176876933,-28.24285714285716
FAC_003,Electronics,Germany,10,350.2036653303947,1374.2334848879252,219936.25330284896,160.04285714285714,3.9240979490932055,-28.24285714285716
FAC_003,Electronics,Germany,11,323.5415442343876,834.3382984942965,133529.8851147372,160.04285714285714,2.578767127011873,-28.24285714285716
FAC_003,Electronics,Germany,12,250.7747435769287,823.272653453375,131758.90766625945,160.04285714285714,3.2829169385665207,-28.24285714285716
FAC_004,Textile,United States,1,899.5084333569995,3621.8302245882683,695391.4031209475,192.0,4.026454995059313,0.0
FAC_004,Textile,United States,2,719.9489179146431,2454.076583948546,471182.70411812083,192.0,3.4086815368191177,0.0
FAC_004,Textile,United States,3,752.4757137409786,2406.213048982737,461992.9054046855,192.0,3.1977285180675175,0.0
FAC_004,Textile,United States,4,852.0003485823977,2762.6738787695926,530433.3847237618,192.0,3.2425736484336802,0.0
FAC_004,Textile,United States,5,438.2123505774029,1756.495068611461,337247.0531734005,192.0,4.0083194056421405,0.0
FAC_004,Textile,United States,6,477.923481966962,1253.1249396433957,240599.98841153196,192.0,2.6220200239711637,0.0
FAC_004,Textile,United States,7,588.019610567271,1511.2044813115294,290151.2604118136,191.99999999999997,2.569989935971096,-2.842170943040401e-14
FAC_004,Textile,United States,8,488.291226163977,1338.4688073054567,256986.0110026477,192.0,2.7411281128692138,0.0
